2022-05-03 22:25:47.180514009 +0000 UTC,2.286140734s,init,peer0.org1.example.com
2022-05-03 22:25:49.314745253 +0000 UTC,2.115452391s,invoke,init,House1
2022-05-03 22:25:51.472837513 +0000 UTC,2.103233764s,invoke,create,Auction
2022-05-03 22:25:53.5898085 +0000 UTC,2.099554117s,invoke,submit,Auction,John,100
2022-05-03 22:25:55.739269835 +0000 UTC,2.100080141s,invoke,submit,Auction,Jane,200
2022-05-03 22:25:57.862933651 +0000 UTC,2.104977627s,invoke,submit,Auction,John,400
2022-05-03 22:26:00.004364927 +0000 UTC,2.1177456s,invoke,submit,Auction,Danny,300
2022-05-03 22:26:02.13860291 +0000 UTC,2.112514044s,invoke,close,Auction
2022-05-03 22:26:04.270885915 +0000 UTC,2.109731402s,invoke,eval,Auction
2022-05-03 22:27:01.107813033 +0000 UTC,2.39161837s,init,peer0.org1.example.com
2022-05-03 22:27:03.228116653 +0000 UTC,2.099138487s,invoke,init,House2
2022-05-03 22:27:05.365438933 +0000 UTC,2.115922134s,invoke,create,Auction
2022-05-03 22:27:07.477035249 +0000 UTC,2.093515703s,invoke,submit,Auction,John,100
2022-05-03 22:27:09.624017316 +0000 UTC,2.104878954s,invoke,submit,Auction,Jane,200
2022-05-03 22:27:11.734267627 +0000 UTC,2.095886869s,invoke,submit,Auction,John,400
2022-05-03 22:27:13.889564508 +0000 UTC,2.112251809s,invoke,submit,Auction,Danny,300
2022-05-03 22:27:16.03858184 +0000 UTC,2.129319564s,invoke,close,Auction
2022-05-03 22:27:18.181572333 +0000 UTC,2.098486547s,invoke,eval,Auction
2022-05-03 22:28:15.474052575 +0000 UTC,2.63874795s,init,peer0.org1.example.com
2022-05-03 22:28:17.622807723 +0000 UTC,2.130006271s,invoke,init,House3
2022-05-03 22:28:19.771539557 +0000 UTC,2.12659028s,invoke,create,Auction
2022-05-03 22:28:21.900403918 +0000 UTC,2.102711623s,invoke,submit,Auction,John,100
2022-05-03 22:28:24.019166259 +0000 UTC,2.099651107s,invoke,submit,Auction,Jane,200
2022-05-03 22:28:26.152017693 +0000 UTC,2.091266695s,invoke,submit,Auction,John,400
2022-05-03 22:28:28.301995554 +0000 UTC,2.108835673s,invoke,submit,Auction,Danny,300
